59 52m 28.9008s N, 29 49m 47.5358s E
59 52m 27.9324s N, 29 49m 47.6234s E
59 52m 28.7394s N, 29 49m 47.5504s E
59 52m 27.753s N, 29 49m 47.6397s E
59 52m 28.4704s N, 29 49m 47.5747s E
59 52m 28.291s N, 29 49m 47.591s E
59 52m 28.2014s N, 29 49m 47.5991s E
59 52m 28.3807s N, 29 49m 47.5828s E
59 52m 28.1117s N, 29 49m 47.6072s E
59 52m 27.8427s N, 29 49m 47.6316s E
59 52m 28.56s N, 29 49m 47.5666s E
59 52m 28.022s N, 29 49m 47.6153s E
59 52m 28.6497s N, 29 49m 47.5585s E
59 52m 28.8111s N, 29 49m 47.5439s E
